ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Days_Since_Customer,Education_Rank,Income_Z
1503,1976,PhD,Together,162397,1,1,3/6/2013,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,45,3137,4,5.129478082467664
1501,1982,PhD,Married,160803,0,0,4/8/2012,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,39,3469,4,5.055445021062675
5336,1971,Master,Together,157733,1,0,4/6/2013,37,39,1,9,2,0,8,0,1,0,1,1,0,0,0,0,0,0,0,50,3106,3,4.912859388369253
8475,1973,PhD,Married,157243,0,1,1/3/2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,48,2834,4,4.890101420936102
4931,1977,Bachelors,Together,157146,0,0,4/29/2013,13,1,0,1725,2,1,1,0,0,28,0,1,0,0,0,0,0,0,0,44,3083,2,4.885596272280967
11181,1949,PhD,Married,156924,0,0,8/29/2013,85,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,72,2961,4,4.875285519688805
5555,1975,Bachelors,Divorced,153924,0,0,7/2/2014,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46,2654,2,4.7359510252001185
4619,1945,PhD,Single,113734,0,0,5/28/2014,9,6,2,3,1,262,3,0,27,0,0,1,0,0,0,0,0,0,0,76,2689,4,2.869333247366694
4611,1970,Bachelors,Together,105471,0,0,1/21/2013,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,51,3181,2,2.4855596047133575
10089,1974,Bachelors,Divorced,102692,0,0,5/4/2013,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,47,3078,2,2.356489417985338
2798,1977,PhD,Together,102160,0,0,2/11/2012,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,44,3526,4,2.3317807676293447
7215,1983,Bachelors,Single,101970,0,0,12/3/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,38,2865,2,2.322956249645061
4248,1960,Master,Single,98777,0,0,2/17/2014,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,61,2789,3,2.1746579026776036
7451,1960,Master,Single,98777,0,0,2/17/2014,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,61,2789,3,2.1746579026776036
500,1977,Bachelors,Together,96876,0,0,6/8/2013,79,908,43,735,40,194,21,1,7,7,9,2,0,1,1,1,0,0,1,44,3043,2,2.086366278003273
2109,1990,Bachelors,Single,96843,0,0,4/23/2013,60,448,71,951,40,17,17,1,6,11,10,2,0,0,1,0,0,0,1,31,3089,2,2.0848335985638973
6815,1980,Master,Married,96547,0,0,5/23/2014,4,448,21,125,52,101,62,0,7,6,8,2,1,0,1,1,0,0,1,41,2694,3,2.071085928441014
10619,1994,Bachelors,Single,95529,0,0,3/12/2012,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,0,1,27,3496,2,2.023805089977853
7962,1987,PhD,Single,95169,0,0,9/10/2013,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,0,1,34,2949,4,2.0070849506392108
4070,1969,PhD,Married,94871,0,2,1/9/2012,99,169,24,553,188,0,144,1,8,5,4,7,0,1,1,0,0,0,1,52,3559,4,1.9932443908533348
3334,1951,Bachelors,Married,94642,0,0,12/2/2014,35,879,143,797,106,143,143,0,5,7,9,1,0,0,1,1,0,0,0,70,2501,2,1.9826085244406983
